|      | game_id                                                             |   num_soundtracks |
|  489 | hercules                                                            |                 8 |
|  490 | hero-senki-project-olympus                                          |                10 |
|  491 | hi-no-ouji-yamato-takeru                                            |                37 |
|  492 | hiouden-mamono-tachi-to-no-chikai                                   |                 3 |
|  493 | hissatsu-pachinko-collection                                        |                 2 |
|  494 | hisshou-777-fighter-ii-pachi-slot-hi-jouhou                         |                 1 |
|  495 | hisshou-777-fighter-iii-kokuryuuou-no-fukkatsu                      |                 2 |
|  496 | hisshou-pachi-slot-fan                                              |                 6 |
|  497 | hit-the-ice                                                         |                11 |
|  498 | hokuto-no-ken-5-tenma-ryuuseiden-ai-zesshou                         |                19 |
|  499 | hokuto-no-ken-6-gekitou-denshouken-haou-he-no-michi                 |                10 |
|  500 | hokuto-no-ken-7-seiken-retsuden-denshousha-he-no-michi              |                14 |
|  501 | holy-umbrella-dondera-no-mubou                                      |                33 |
|  502 | home-alone                                                          |                 8 |
|  503 | home-alone-2-lost-in-new-york                                       |                 8 |
|  504 | home-improvement-power-tool-pursuit                                 |                13 |
|  505 | hong-kong-97                                                        |                 1 |
|  506 | honkaku-mahjong-tetsuman                                            |                 6 |
|  507 | honkaku-shougi-fuuunji-ryuuou                                       |                 3 |
|  508 | honkakuha-igo-gosei                                                 |                 4 |
|  509 | honke-hanafuda                                                      |                 7 |
|  510 | honke-sankyo-fever-jikki-simulation-2                               |                 3 |
|  511 | honke-sankyo-fever-jikki-simulation-3                               |                 1 |
|  512 | honoo-no-toukyuuji-dodge-danpei                                     |                10 |
|  513 | hook                                                                |                18 |
